Uniprot	Standard Name	Prot
P42933	SPG5	1.17083981583719E-10
P40310	TOK1	1.32572274550447E-10
P39961	TOG1	1.64685386321756E-10
P53167	PUS2	1.91571749744738E-10
Q99373	PET20	2.41254859122815E-10
Q04549	ARP10	2.79134100002881E-10
P40577	MND2	2.92910728605328E-10
P38960	STN1	4.82843594350216E-10
Q06200	ECM7	4.84043647986998E-10
P53961	GPI15	5.31132117120848E-10
Q03236	YMR187C	5.34807578686199E-10
P47144	ECM27	5.73712382991197E-10
P53749	YNR063W	6.18740269855579E-10
P38157	MAL33	6.74611072235562E-10
Q04629	SWF1	1.24243512270939E-09
P40896	YJL213W	2.03554190638114E-09
P47161	VPS70	2.08685989836522E-09
P38866	FMO1	2.81032739479537E-09
Q08214	NTG2	3.12942520386237E-09
P24871	CLB4	3.4465333419411E-09
P38760	MIP6	3.4465333419411E-09
Q06665	RAD34	3.9834688095971E-09
P36134	YKR041W	4.06915160058246E-09
P35187	SGS1	4.18836536495629E-09
Q12333	FRE7	4.19395092521419E-09
P38211	GPI18	4.27672584277381E-09
P25390	SSK22	4.28464382600261E-09
P0CX08	DSF1	4.3560835969933E-09
P40583	YPS6	4.37317250597457E-09
P03878	AI4	4.45510924364741E-09
Q08957	AFT2	4.85593130806151E-09
P39875	EXO1	4.8788136286325E-09
P38864	YHR173C	5.19245164761602E-09
Q12150	CSF1	5.33892879888821E-09
P53264	CLD1	5.58280647487764E-09
Q03868	SPO71	5.64548434170332E-09
P47187	COS5	5.67673767522624E-09
P0CW40	IMA3	5.7848790168071E-09
P38308	COS111	6.0576464361587E-09
P0CY13	HMRA2	6.12559094565345E-09
Q08299	ENB1	6.14802554773617E-09
P43549	AQY3	6.33773351250053E-09
Q9ZZW7	BI3	6.37730638599819E-09
P32383	PLC1	6.56829922142172E-09
Q03162	MUB1	6.71274426063809E-09
Q12103	YDL109C	6.79549041130955E-09
P43544	SNO3	6.79549041130955E-09
P53135	SLD3	6.81292618069896E-09
Q12212	SIA1	7.1798499431282E-09
P47030	TAX4	7.21276042556201E-09
P53886	APC1	7.2833717741728E-09
Q12132	USV1	7.3193911388944E-09
P43605	ECO1	7.31946408320951E-09
Q02574	MEC3	7.41859042422083E-09
Q12244	YLL054C	7.53509822835337E-09
P38871	SSP1	7.53970451958869E-09
Q06683	IRC3	7.59700979315632E-09
Q12083	MLH3	7.65297097197595E-09
P36026	UBP11	7.67818963307675E-09
P43542	COS4	7.79687163791636E-09
P38111	MEC1	7.806101805812E-09
P33200	PDR3	7.84095047458794E-09
P29461	PTP2	8.04952910957846E-09
P25356	BPH1	8.14457521353677E-09
Q99222	AFI1	8.18959693358226E-09
P32786	RRN6	8.2591344998993E-09
Q99299	AIM44	8.29398316867525E-09
Q04461	YMR111C	8.29398316867525E-09
P08459	SPS2	8.29398316867525E-09
P43550	DAK2	8.58947485436925E-09
P10870	SNF3	8.67731852521066E-09
P05085	ARG81	8.74329585971969E-09
P53745	MNT4	8.78699522786017E-09
Q2V2Q1	ADF1	8.90382941035223E-09
Q03983	NVJ3	9.02580521297012E-09
Q12110	YLR049C	9.02956267268385E-09
P36085	STB6	9.09550255052202E-09
Q02207	FOX2	9.26976876440466E-09
Q12340	YRM1	9.29632316292818E-09
P32361	IRE1	9.30459456317769E-09
P33420	NIP100	9.32641410022425E-09
P32522	PET309	9.43963619010244E-09
P03876	AI2	9.44398923828148E-09
Q05930	MDM30	9.44398923828148E-09
P40026	KRE29	9.49838240745646E-09
Q03214	ECM5	9.60080824777324E-09
Q06836	SYT1	9.72277858848905E-09
P40890	VTH2	9.72277858848905E-09
P21691	SIR1	9.79247592604094E-09
Q03083	YPL034W	9.95048622289214E-09
Q12280	IQG1	1.00562326946768E-08
P53983	ASI3	1.00885183365256E-08
P38176	AVT5	1.02282504738139E-08
P25335	DAL2	1.03588450317732E-08
Q05947	UCC1	1.0411926948154E-08
P08638	LEU3	1.04270784934872E-08
Q07963	UBR2	1.04783413562316E-08
P38283	SLI15	1.05068736359478E-08
P20052	PHO80	1.05083217257354E-08
P53338	MAL13	1.05146990478158E-08
P38848	PEX28	1.07165475027712E-08
P38699	STB5	1.08043840804571E-08
P32828	SLX5	1.08727846580953E-08
P25578	PGS1	1.09066065715409E-08
P07272	PPR1	1.1047028001975E-08
Q08268	MCH4	1.10509069222733E-08
P32562	CDC5	1.10993808907563E-08
P35209	SPT21	1.11069871840097E-08
P32797	CDC13	1.11167253395269E-08
Q12748	CTF3	1.11167253395269E-08
P53257	TPC1	1.11167253395269E-08
P38739	WSC4	1.11684187499138E-08
Q06479	YLR352W	1.12212713458547E-08
