Condition	Ptot	D	Glucose [mmol/gDw h]	CO2 production [mmol/gDwh]	Oxygen uptake [mmol/gDwh]	Pyruvate	succinate	Glycerol	Acetate	Ethanol
Lahtvee2017_REF	0.4228	0.1	1.1	2.7	2.5	0.0000806	0.00001	0.001893379	0.089483471	0.00001
Lahtvee2017_EtOH20	0.45	0.1	0.33	2.98	4.65	0	0	0	0.003	2.44
Lahtvee2017_EtOH40	0.55	0.1	0.61	2.77	5.03	0	0	0.01	0	1.74
Lahtvee2017_EtOH60	0.52	0.1	1.24	3.42	5.26	0	0	0.022	0.018	0.66
Lahtvee2017_Osmo02	0.67	0.1	1.12	2.87	2.57	0	0	0.004	0	0
Lahtvee2017_Osmo04	0.62	0.1	1.1	2.86	2.36	0	0	0.028	0	0
Lahtvee2017_Osmo06	0.64	0.1	1.36	4.12	4.08	0	0	0.08	0	0
Yu2020_Clim	0.477	0.2	2.439	6.053	6.5045	0.002	0.0005	0	0.0055	0
Yu2020_CN30	0.3665	0.2	4.6245	10.8545	7.103	0.035	0.0215	0	0.2405	3.522
Yu2020_CN50	0.2635	0.2	5.7955	10.179	7.16	0.0615	0.0225	0.1205	0.698	4.193
Yu2020_CN115	0.2635	0.2	5.982	9.634	4.9005	0.083	0.032	0.25	1.0435	4.858
Yu2021_N30_005	0.261477107133333	0.05	0.764922991929832	2.31073095061937	2.08762925907096	0.000423488231277579	0	0.0068301737126919	0	0
Yu2021_std_010	0.3580244524	0.1	1.13513492402127	1.99	2.33666666666667	0.00013981536108695	0	0	0	0.00558882515867094
Yu2021_N30_010	0.225573166666667	0.1	1.50339346141323	3.2538828860555	3.6540464071859	0.0159516033788512	0	0	0.0635796725650541	0
Yu2021_N30_013	0.275686440466667	0.13	2.07121521898328	5.39516441623424	4.95630160701298	0.025205896320988	0.000963844069868254	0.0390312748372584	0.238725223508477	0.138573929306322
Yu2021_N30_018	0.286470309533333	0.18	3.09902649322767	6.93941485367315	5.56723126227141	0.0301795726546021	0.000898982776121469	0.0125792439997098	0.259962513399158	1.27927807703305
Yu2021_N30_030	0.414481178566667	0.3	8.3998517024988	15.3841197505779	8.67606732587709	0.0535026803561448	0.0251632907583526	0	0.400664991367594	7.31376068287849
Yu2021_N30_035	0.494313637166667	0.35	13.0876687429014	21.0276400052541	12.6709709206857	0.0952581490008755	0.0232384925321768	0	0.528987621129117	11.9666055810038
Yu2021_Gln_glc1	0.558604416666667	0.1	0.794186379188057	2.68636743756674	2.35080698899085	0.00542156603049162	0	0	0	0
Yu2021_Gln_glc2	0.387711809333333	0.1	0.740082416676146	2.51968800844991	1.5628783292541	0.0316724376604705	0	0.0077122054546056	0	0
Yu2021_Gln_N30	0.306769357133333	0.1	1.31326037901833	4.1096344050836	3.53740026232376	0.800447231980448	0.00370654082083947	0.0445499647403455	0.0630467322252696	0.00602442647611315
Yu2021_Phe_std	0.465863142866667	0.1	1.50678051175351	5.69024312091651	5.51750999629332	0.0707644511908115	0	0	0	0
Yu2021_Phe_N30	0.398495678566667	0.1	1.67260856025719	5.94248885816046	5.62930219134408	0.260772957181194	0	0	0	0
Yu2021_Ile_std	0.357009499966667	0.1	1.560999874864	4.961981267055	4.67292256344547	0.15739665800264	0	0.00349005363865667	0	0.042979822446756
Yu2021_Ile_N30	0.437317607	0.1	1.5935500052082	4.54790475495253	4.23082740269781	0.733195986559447	0	0.0366219500700308	0.104272361092218	0.136591695626572
