Row	Empty	ACE_BATCH_mu=0.3_S	FRU_BATCH_mu=0.65_S	FUM_BATCH_mu=0.42_S	GAL_BATCH_mu=0.26_S	GAM_BATCH_mu=0.46_S	GLC_BATCH_mu=0.58_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	SUCC_BATCH_mu=0.44_S	XYL_BATCH_mu=0.55_S	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.40_V	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.41_P	GLC_CHEM_mu=0.46_P	GLC_CHEM_mu=0.51_P
P00561		4.61295086904764E-06	1.63898659461855E-05	6.78087071067454E-06	4.72084407335872E-06	1.00151469740713E-05	1.01050845142617E-05	8.91916396148492E-06	8.36425958122768E-06	2.049294229352E-05	7.44157040453359E-06	1.67791082380984E-05	3.87840449364654E-06	4.94673189823456E-06	6.86653810247329E-06	1.48493183272562E-05	6.46060342876257E-06	8.46447135155848E-06	1.00798738055553E-05	1.52144614268318E-05	1.51800933031026E-05	1.34798774183335E-05	1.35861572380441E-05	1.5760580333631E-05	1.75558267168706E-05	2.02369664322365E-05	2.28818626906317E-05	2.57982080503955E-05	2.84365472950111E-05
P00547		8.32129089083786E-07	1.21075863056669E-06	8.98636435181832E-07	6.94270571508481E-07	1.32435949385491E-06	1.05261370848913E-06	8.42849300826945E-07	4.40866221802968E-07	1.69340752779638E-06	7.81100813347641E-07	2.11388209816986E-06	4.01018825235557E-07	4.25875978523465E-07	4.37023652398926E-07	6.10772291434291E-07	7.72905388698619E-07	1.00754457017659E-06	1.20449455008326E-06	1.91218604661043E-06	1.95777538789695E-06	2.43070211671866E-06	2.59878551359776E-06	2.79149330839369E-06	3.04767593282824E-06	3.90780622178399E-06	4.06901360459496E-06	4.26616012104508E-06	5.05139099594761E-06
P00934		1.22540333857905E-05	2.4660838954022E-05	1.75672814409566E-05	1.06459830131816E-05	1.73101867674017E-05	2.58835529821221E-05	2.11744443923149E-05	1.74249276858456E-05	3.95234630550953E-05	1.97318208410649E-05	3.06148224132715E-05	7.92265100840159E-06	8.2813572606337E-06	1.06795086670924E-05	1.64034757585519E-05	1.62659347993739E-05	2.03778317227396E-05	1.95102252961809E-05	2.4830591999168E-05	2.79501407994526E-05	2.25433584320052E-05	2.2461569323447E-05	2.44363635290662E-05	2.6525213800405E-05	2.9288705711609E-05	3.12979956279376E-05	3.47640687687654E-05	3.86949758634964E-05
P0A8I3		9.44056850875626E-07	1.42017897217394E-06	1.02806020959251E-06	8.80793742235146E-07	1.43400576612154E-06	1.42350638063987E-06	1.14200171549178E-06	1.24050567719855E-06	1.14706003116004E-06	1.04876860935711E-06	1.33034291184073E-06	4.84204674533198E-07	7.0190670534423E-07	7.66426770938531E-07	8.6330440176362E-07	2.94619860080105E-07	3.65368881988325E-07	4.23437424863208E-07	4.35312794116651E-07	4.96853372917328E-07	8.92670265477091E-07	NaN	1.10442324733955E-06	NaN	NaN	NaN	NaN	1.04946761282717E-06
P0A870		1.47065334188443E-05	2.12693820053537E-05	1.91927552952955E-05	1.75817214320943E-05	1.88769818707892E-05	1.88326233602305E-05	2.15317309175072E-05	1.73815844178654E-05	2.25864289986904E-05	1.87505542895618E-05	2.40997636964124E-05	9.99586165937833E-06	1.18031803236585E-05	1.45756529425668E-05	1.86485610437086E-05	3.15717761862238E-05	3.55712596565717E-05	3.60174414327169E-05	3.75404072201096E-05	3.83221184970258E-05	7.88925583154719E-05	7.62100252865503E-05	8.11452188993796E-05	7.96601001972139E-05	8.08765499393449E-05	8.16601897885651E-05	8.19384749776799E-05	8.4816778552263E-05
P0AF03		1.053424888639E-07	NaN	1.3477268288931E-07	NaN	1.22552612249669E-07	8.36116428547898E-08	8.31413082362536E-08	NaN	9.74786666007139E-08	NaN	NaN	5.41860068968399E-08	5.92945934651792E-08	5.64834829957162E-08	6.31704397468256E-08	9.73931236866001E-07	8.58096067283695E-07	8.3655938067152E-07	6.52944031494354E-07	6.05492873841828E-07	NaN	4.80860592728813E-07	4.54264687032387E-07	NaN	NaN	NaN	NaN	3.65967394342493E-07
P0A6Y8		3.10105752892677E-05	3.1858241589817E-05	3.3378219066797E-05	2.5114894113299E-05	3.34918946383994E-05	3.29650285824586E-05	3.37353387012421E-05	3.44931406574221E-05	2.66465171077198E-05	3.83562451658356E-05	3.32880610238438E-05	2.5440303754192E-05	2.54028586117088E-05	2.78088901591623E-05	2.89797993259395E-05	4.0680385681059E-05	3.58397637681664E-05	3.51007233095846E-05	3.38974364241712E-05	3.40168442684018E-05	6.29719888502574E-05	6.35976517093881E-05	6.17608038900733E-05	5.99584378327215E-05	5.97086027107563E-05	5.84306485029463E-05	6.11731172853468E-05	6.13383123216857E-05
P08622		1.08114429328917E-06	1.02877594066447E-06	1.49858585876259E-06	9.68818470998487E-07	1.38314864071218E-06	1.2197129676041E-06	1.4133831796522E-06	1.12202645390728E-06	1.185463767661E-06	1.16549782526476E-06	1.39458576658948E-06	9.6989244602936E-07	1.09064796295009E-06	1.21955261893535E-06	1.24758344935587E-06	2.39847235366665E-06	2.48562548734021E-06	2.45417588656309E-06	2.06938373113481E-06	1.85658315243647E-06	2.66092615737109E-06	2.73527815911463E-06	2.82087318055632E-06	2.70339690377051E-06	2.80566953933092E-06	2.59029429967144E-06	2.8576855593714E-06	2.80706529175439E-06
P0A7U7		2.37720039065058E-05	4.58917334479382E-05	3.61793830047387E-05	2.52217715258224E-05	3.83059786579363E-05	5.1103599119229E-05	4.01735675497864E-05	3.30653669028688E-05	3.20609206329986E-05	3.53522573141182E-05	3.99742055689305E-05	2.12977226140176E-05	2.24775377074236E-05	2.53518796152491E-05	3.56238443243751E-05	5.5556449403529E-05	6.1033913152318E-05	6.39796085595066E-05	7.62795725831208E-05	8.57323161894996E-05	6.22866420144653E-05	6.39087382140755E-05	6.80641171974693E-05	7.66019194205221E-05	8.19292889717043E-05	9.07205865229864E-05	0.000101627688553769	0.000105839552014407
P0AG40		2.18101614015414E-07	2.88775334270821E-07	2.58590008783502E-07	2.60636076087419E-07	2.80847335672608E-07	2.8343620486291E-07	2.94006116355849E-07	2.14676880941065E-07	2.83740814179282E-07	2.26105563912687E-07	2.69614383952538E-07	2.33137545802972E-07	3.0791578360865E-07	2.38052511482317E-07	3.3751384197571E-07	NaN	NaN	NaN	NaN	NaN	NaN	3.58876653695897E-06	NaN	NaN	NaN	NaN	3.26041185337653E-06	3.26852800799576E-06
