Uniprot	Protein	Prot
P00401	Q0045	2.87570397987007E-07
P00856	Q0080	1.43166307018449E-06
P00854	Q0085	4.50349627253844E-07
P00163	Q0105	3.51834868401743E-07
P61829	Q0130	2.11158878054946E-06
P00410	Q0250	6.2203483519611E-07
P00420	Q0275	4.73384127442153E-07
P31373	YAL012W	5.43768229536429E-06
P31382	YAL023C	1.066395675152E-06
P39524	YAL026C	1.39570017644874E-06
P39730	YAL035W	7.83699679865054E-06
P00549	YAL038W	4.66872179674552E-05
P06182	YAL039C	6.53451325072754E-07
P39726	YAL044C	2.3620105963751E-06
Q01574	YAL054C	2.94832698792761E-06
P39714	YAL060W	2.34559818477417E-06
P39713	YAL061W	1.25467874131237E-06
P39708	YAL062W	1.75912646553908E-06
P27616	YAR015W	3.17157283692715E-06
P80235	YAR035W	7.38674647901671E-07
P35842	YAR071W	3.3097707684758E-06
P32784	YBL011W	1.05061087714656E-06
P32785	YBL013W	5.29091332749759E-07
P32316	YBL015W	2.88332318529706E-06
P38066	YBL033C	7.04446108253252E-07
P28274	YBL039C	5.14554679028226E-06
P07256	YBL045C	4.62030295553911E-06
P34227	YBL064C	1.93787302943094E-06
P38063	YBL068W	1.76227046532025E-06
P09436	YBL076C	5.35796193162462E-06
P33893	YBL080C	4.85949692085421E-07
P38174	YBL091C	2.47974351298503E-06
P38169	YBL098W	8.4115127823368E-07
P07251	YBL099W	8.40550661130427E-06
P35172	YBR001C	2.8565479305006E-07
P35196	YBR002C	5.15908955665863E-07
P18900	YBR003W	7.87244497014825E-07
P38211	YBR004C	4.42046234791E-07
P38067	YBR006W	2.16932532441961E-06
P00817	YBR011C	1.08157796921928E-05
P08431	YBR018C	1.9393108313052E-06
P04397	YBR019C	1.41307931758734E-06
P04385	YBR020W	1.69004492823478E-06
P38218	YBR022W	4.0818629308807E-07
P29465	YBR023C	6.47684337497518E-07
P38071	YBR026C	1.1825495463962E-06
P38221	YBR029C	6.18576857442726E-07
P38074	YBR034C	2.95326302420423E-06
P38075	YBR035C	2.39243552903273E-06
P35206	YBR036C	5.62861750816091E-07
P14180	YBR038W	8.43347450334811E-07
P38077	YBR039W	4.21482758681394E-06
P38226	YBR042C	4.10546728403875E-07
P38230	YBR046C	1.50128739858531E-06
Q3E790	YBR058C-A	5.14558806868487E-07
P38242	YBR070C	6.52249997287549E-07
P09440	YBR084W	2.94306055397534E-06
P24031	YBR092C	3.61374844965433E-06
P00635	YBR093C	4.1252607914144E-06
P22219	YBR097W	3.15096944582587E-07
P16661	YBR110W	3.57171838295281E-07
Q01976	YBR111C	2.31030368995316E-06
P07702	YBR115C	2.55930779265502E-06
P33315	YBR117C	1.67650853533995E-06
P38088	YBR121C	8.30532586129985E-06
Q00764	YBR126C	2.38985366498245E-06
P16140	YBR127C	7.57743975760245E-06
P38113	YBR145W	2.34945519996341E-06
P38115	YBR149W	2.33701627686117E-06
P33312	YBR153W	4.60973725329092E-07
P38286	YBR159W	2.02267612542624E-06
P38287	YBR161W	2.72383725836743E-07
P20049	YBR166C	7.12549035926575E-07
P38122	YBR176W	5.21828816846146E-07
P38298	YBR183W	4.4491714279734E-07
P12709	YBR196C	1.55406706211756E-05
P38131	YBR199W	3.48792387276258E-07
P38139	YBR204C	3.69053580581016E-07
P38130	YBR205W	7.24770174698444E-07
P32528	YBR208C	2.16111385313292E-06
P15807	YBR213W	6.76920397793777E-07
P32327	YBR218C	6.32128716344191E-06
P32473	YBR221C	4.93733484042511E-06
P38137	YBR222C	1.54205604333324E-06
P38138	YBR229C	6.38961333611688E-07
P07286	YBR243C	4.47515558672213E-07
P38143	YBR244W	1.22453815046005E-06
P33734	YBR248C	1.46535746390842E-06
P32449	YBR249C	8.95832004803645E-06
P33317	YBR252W	2.07189752102713E-06
P38145	YBR256C	8.67215639895957E-07
P37292	YBR263W	4.42399553785592E-06
P38342	YBR265W	9.02585729617771E-07
P38149	YBR281C	6.53436632926919E-07
P38360	YBR295W	3.93872447537311E-07
P38158	YBR299W	1.37091048076077E-06
P25578	YCL004W	3.50619790730225E-07
P25605	YCL009C	2.51207740478725E-06
P25374	YCL017C	2.49777201860875E-06
P04173	YCL018W	8.09633991009738E-06
P00815	YCL030C	5.54559228432154E-06
