Row	Empty	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38	Yu2020_Clim	Yu2020_CN30	Yu2020_CN50	Yu2020_CN115	DiBartolomeo2020_Gluc	DiBartolomeo2020_Etoh	Yu2021_N30_005	Yu2021_std_010	Yu2021_N30_010	Yu2021_N30_013	Yu2021_N30_018	Yu2021_N30_030	Yu2021_N30_035	Yu2021_Gln_glc1	Yu2021_Gln_glc2	Yu2021_Gln_N30	Yu2021_Phe_std	Yu2021_Phe_N30	Yu2021_Ile_std	Yu2021_Ile_N30
P00401		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.88655049546621E-06	2.45878463246636E-06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03876		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.76954139593584E-08	8.37058975604581E-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03878		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.72351808747295E-08	1.85489863134495E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P02381		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.24573751719967E-08	1.40139922532182E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P00410		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.62862385690797E-06	2.53075731281633E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P00420		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.99354770671937E-08	3.71390914428676E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03871		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.5430319609421E-07	2.79575850308751E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q06891		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.06686632534523E-07	2.66356939806482E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03872		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.8951230704362E-07	1.15651267342632E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P34111		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.31141172566688E-08	2.86141445501932E-08	1.71819327594795E-08	2.09676440150913E-08	1.5238470968117E-08	2.44732703790444E-08	1.456185862E-08	1.866881445E-08	1.187971514E-08	1.516532425E-08	1.555068651E-08	1.785941479E-08	0.0000000182760703	3.085720836E-08	2.601162767E-08	1.863664073E-08	2.552292796E-08	2.349014906E-08	2.408305679E-08	1.996493187E-08
